,game_date,game_id,season,week,posteam,passer_id,passer,qb_hit,pass_length,pass_location,passing_yards,pass_touchdown,interception,sack,pass_attempt,complete_pass,epa,success
2,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,1.0,,,0.0,0.0,0.0,1.0,1.0,0.0,-1.658763031475246,0.0
4,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.14213824411854148,1.0
7,2019-09-08,2019_01_ATL_MIN,2019,1,MIN,00-0029604,K.Cousins,0.0,short,left,8.0,0.0,0.0,0.0,1.0,1.0,0.2581296603893861,1.0
8,2019-09-08,2019_01_ATL_MIN,2019,1,MIN,00-0029604,K.Cousins,1.0,short,left,23.0,1.0,0.0,0.0,1.0,1.0,2.7853768318891525,1.0
14,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,middle,0.0,0.0,1.0,0.0,1.0,0.0,-4.834617694374174,0.0
15,2019-09-08,2019_01_ATL_MIN,2019,1,MIN,00-0029604,K.Cousins,0.0,short,left,1.0,0.0,0.0,0.0,1.0,1.0,-0.5447988328523934,0.0
17,2019-09-08,2019_01_ATL_MIN,2019,1,MIN,00-0029604,K.Cousins,1.0,short,right,0.0,0.0,0.0,0.0,1.0,0.0,-0.48626838822383434,0.0
22,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,middle,3.0,0.0,0.0,0.0,1.0,1.0,-0.2979147406294942,0.0
24,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,1.0,short,left,0.0,0.0,0.0,0.0,1.0,0.0,-0.5634962869808078,0.0
25,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,left,5.0,0.0,0.0,0.0,1.0,1.0,-0.2520919810049236,0.0
26,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,1.0,short,left,6.0,0.0,0.0,0.0,1.0,1.0,1.6677331975661218,1.0
28,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,left,23.0,0.0,0.0,0.0,1.0,1.0,2.3585963702062145,1.0
30,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,left,2.0,0.0,0.0,0.0,1.0,1.0,-0.9783337679691613,0.0
31,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,deep,right,0.0,0.0,0.0,0.0,1.0,0.0,-0.9295794216450304,0.0
32,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,deep,left,0.0,0.0,0.0,0.0,1.0,0.0,-1.5811327905394137,0.0
35,2019-09-08,2019_01_ATL_MIN,2019,1,MIN,00-0029604,K.Cousins,0.0,short,right,6.0,0.0,0.0,0.0,1.0,1.0,0.4088749203365296,1.0
39,2019-09-08,2019_01_ATL_MIN,2019,1,MIN,00-0029604,K.Cousins,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.8308121021836996,0.0
44,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,middle,14.0,0.0,0.0,0.0,1.0,1.0,0.8585768893826753,1.0
45,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,deep,left,20.0,0.0,0.0,0.0,1.0,1.0,1.3095657082740217,1.0
46,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.8415882152039558,1.0
47,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.43242543982341886,1.0
51,2019-09-08,2019_01_ATL_MIN,2019,1,MIN,00-0029604,K.Cousins,0.0,short,right,9.0,0.0,0.0,0.0,1.0,1.0,1.906524087768048,1.0
52,2019-09-08,2019_01_ATL_MIN,2019,1,MIN,00-0029604,K.Cousins,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.9245818280614913,1.0
53,2019-09-08,2019_01_ATL_MIN,2019,1,MIN,00-0029604,K.Cousins,0.0,short,left,0.0,0.0,0.0,0.0,1.0,0.0,-0.4908847843762487,0.0
55,2019-09-08,2019_01_ATL_MIN,2019,1,MIN,00-0029604,K.Cousins,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.451649364316836,1.0
66,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,right,10.0,0.0,0.0,0.0,1.0,1.0,0.6216096914140508,1.0
67,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,right,9.0,0.0,0.0,0.0,1.0,1.0,0.7822304353467189,1.0
69,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,middle,0.0,0.0,0.0,0.0,1.0,0.0,-0.4328445838182233,0.0
70,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,left,4.0,0.0,0.0,0.0,1.0,1.0,-0.0390477190958336,0.0
72,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.1322643882595003,0.0
74,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,1.0,,,0.0,0.0,0.0,1.0,1.0,0.0,-1.7871133826556616,0.0
84,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,1.0,short,left,0.0,0.0,0.0,0.0,1.0,0.0,-0.26076244772411883,0.0
85,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,middle,13.0,0.0,0.0,0.0,1.0,1.0,-0.008446465188171715,0.0
86,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,middle,23.0,0.0,0.0,0.0,1.0,1.0,-0.7253770075622015,0.0
90,2019-09-08,2019_01_ATL_MIN,2019,1,MIN,00-0029604,K.Cousins,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0,-0.8908164314925671,0.0
91,2019-09-08,2019_01_ATL_MIN,2019,1,MIN,00-0029604,K.Cousins,0.0,short,left,12.0,0.0,0.0,0.0,1.0,1.0,2.1225537334103137,1.0
96,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,middle,9.0,0.0,0.0,0.0,1.0,1.0,0.716637359932065,1.0
98,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,right,5.0,0.0,0.0,0.0,1.0,1.0,-0.0576865510083735,0.0
102,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,left,13.0,0.0,0.0,0.0,1.0,1.0,1.362056848127395,1.0
103,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,left,4.0,0.0,0.0,0.0,1.0,1.0,-0.07713144016452134,0.0
105,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,right,8.0,0.0,0.0,0.0,1.0,1.0,1.6490087751299143,1.0
106,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,1.0,,,0.0,0.0,0.0,1.0,1.0,0.0,-1.4455547796096653,0.0
107,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,left,6.0,0.0,0.0,0.0,1.0,1.0,0.5075340266339481,1.0
108,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,3.1579108988516964,1.0
110,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,right,0.0,0.0,1.0,0.0,1.0,0.0,-7.068585567583796,0.0
111,2019-09-08,2019_01_ATL_MIN,2019,1,MIN,00-0029604,K.Cousins,0.0,short,left,8.0,0.0,0.0,0.0,1.0,1.0,0.4602014801930636,1.0
114,2019-09-08,2019_01_ATL_MIN,2019,1,MIN,00-0029604,K.Cousins,0.0,deep,right,31.0,0.0,0.0,0.0,1.0,1.0,2.8899728736141697,1.0
120,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,middle,0.0,0.0,0.0,0.0,1.0,0.0,-0.6366205690428615,0.0
121,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,right,0.0,0.0,0.0,0.0,1.0,0.0,-0.8449900187551975,0.0
122,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,left,0.0,0.0,0.0,0.0,1.0,0.0,-1.4219848492648453,0.0
129,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,right,13.0,0.0,0.0,0.0,1.0,1.0,0.9585904630366713,1.0
130,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,middle,16.0,0.0,0.0,0.0,1.0,1.0,0.9060676526278257,1.0
131,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,right,3.0,0.0,0.0,0.0,1.0,1.0,-0.35140856879297644,0.0
133,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,right,0.0,0.0,0.0,0.0,1.0,1.0,-0.44137194112408906,0.0
134,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,middle,5.0,0.0,0.0,0.0,1.0,1.0,-0.1652995499316603,0.0
135,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,right,0.0,0.0,0.0,0.0,1.0,0.0,-1.2935640306095593,0.0
136,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,deep,left,20.0,1.0,0.0,0.0,1.0,1.0,4.51513919030549,1.0
137,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,-0.947,0.0
149,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,right,7.0,0.0,0.0,0.0,1.0,1.0,0.16987294610589743,1.0
150,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,left,10.0,0.0,0.0,0.0,1.0,1.0,0.8816447306890041,1.0
151,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,middle,7.0,0.0,0.0,0.0,1.0,1.0,0.3797633562935516,1.0
152,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,deep,right,0.0,0.0,0.0,0.0,1.0,0.0,-0.6557689553592354,0.0
153,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.3111187384929508,1.0
154,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,deep,left,0.0,0.0,0.0,0.0,1.0,0.0,-0.614799108589068,0.0
155,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,right,7.0,0.0,0.0,0.0,1.0,1.0,0.22163584682857618,1.0
156,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.042827716213651,1.0
157,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,left,6.0,0.0,0.0,0.0,1.0,1.0,0.3545194513280876,1.0
159,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,1.0,,,0.0,0.0,0.0,1.0,1.0,0.0,-1.4459215155802667,0.0
161,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,middle,10.0,0.0,0.0,0.0,1.0,1.0,0.3121718220645562,1.0
162,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,left,5.0,0.0,0.0,0.0,1.0,1.0,1.9219033129047602,1.0
164,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,middle,16.0,0.0,0.0,0.0,1.0,1.0,1.4344408587785438,1.0
165,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,short,left,2.0,1.0,0.0,0.0,1.0,1.0,0.9948149533011019,1.0
166,2019-09-08,2019_01_ATL_MIN,2019,1,ATL,00-0026143,M.Ryan,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,-0.947,0.0
174,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,short,right,7.0,0.0,0.0,0.0,1.0,1.0,0.46694050810765475,1.0
176,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,short,right,3.0,0.0,0.0,0.0,1.0,1.0,-0.34202042571268976,0.0
184,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,1.0,short,right,0.0,0.0,0.0,0.0,1.0,0.0,-0.5753572231624275,0.0
185,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,short,right,12.0,0.0,0.0,0.0,1.0,1.0,1.5004578777588904,1.0
187,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,deep,right,0.0,0.0,1.0,0.0,1.0,0.0,-4.634792249649763,0.0
188,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,short,middle,47.0,1.0,0.0,0.0,1.0,1.0,3.8949352877680212,1.0
191,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,1.0,short,right,0.0,0.0,0.0,0.0,1.0,0.0,-0.5693932592403144,0.0
192,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,short,left,13.0,0.0,0.0,0.0,1.0,1.0,1.4261733405292034,1.0
195,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,short,left,1.0,0.0,0.0,0.0,1.0,1.0,-0.845286563038826,0.0
199,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,deep,middle,83.0,1.0,0.0,0.0,1.0,1.0,7.303120872238651,1.0
203,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,short,left,26.0,0.0,0.0,0.0,1.0,1.0,2.7094075207132846,1.0
204,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,short,left,5.0,0.0,0.0,0.0,1.0,1.0,0.09001228003762662,1.0
205,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,1.0,short,right,0.0,0.0,0.0,0.0,1.0,0.0,-0.8852242953144014,0.0
206,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,1.0,short,left,0.0,0.0,0.0,0.0,1.0,0.0,-1.5046483136247844,0.0
209,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,short,right,9.0,0.0,0.0,0.0,1.0,1.0,1.229186876444146,1.0
211,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,short,right,14.0,0.0,0.0,0.0,1.0,1.0,1.1338617140427232,1.0
213,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.24260492459870875,1.0
216,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,deep,middle,33.0,1.0,0.0,0.0,1.0,1.0,3.7274912723805755,1.0
220,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,deep,middle,49.0,0.0,0.0,0.0,1.0,1.0,4.0446951382327825,1.0
222,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,short,right,-3.0,0.0,0.0,0.0,1.0,1.0,-1.0917415185831487,0.0
224,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,deep,right,0.0,0.0,0.0,0.0,1.0,0.0,-0.9273089072392235,0.0
227,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,1.0,,,0.0,0.0,0.0,1.0,1.0,0.0,-0.9138114219531417,0.0
232,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,short,left,3.0,0.0,0.0,0.0,1.0,1.0,-0.4313838636735454,0.0
233,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,short,middle,5.0,1.0,0.0,0.0,1.0,1.0,2.696414018748328,1.0
237,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.10739074531011283,1.0
239,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,1.0,deep,left,0.0,0.0,0.0,0.0,1.0,0.0,-0.5996999919880182,0.0
240,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,1.0,short,middle,0.0,0.0,0.0,0.0,1.0,0.0,-0.8879062676569447,0.0
243,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,deep,right,0.0,0.0,0.0,0.0,1.0,0.0,-0.5293935197405517,0.0
244,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,short,right,6.0,0.0,0.0,0.0,1.0,1.0,-0.22658510343171656,0.0
250,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.147627494938206,1.0
254,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,short,left,14.0,0.0,0.0,0.0,1.0,1.0,1.529212995141279,1.0
255,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,1.0,,,0.0,0.0,0.0,1.0,1.0,0.0,-0.45571294054389,0.0
256,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,deep,right,0.0,0.0,0.0,0.0,1.0,0.0,-0.3795286442618817,0.0
257,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,deep,left,22.0,0.0,0.0,0.0,1.0,1.0,1.9343885345151648,1.0
258,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,deep,left,0.0,0.0,0.0,0.0,1.0,0.0,-0.40867205808172,0.0
259,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,short,left,7.0,0.0,0.0,0.0,1.0,1.0,0.3879466393846087,1.0
260,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,short,left,11.0,0.0,0.0,0.0,1.0,1.0,1.3910371789825149,1.0
262,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,short,middle,6.0,1.0,0.0,0.0,1.0,1.0,2.0456561347236857,1.0
268,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,short,middle,10.0,0.0,0.0,0.0,1.0,1.0,0.5999393961392343,1.0
270,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.6405278528109193,0.0
271,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,short,left,0.0,0.0,0.0,0.0,1.0,0.0,-0.817148509901017,0.0
272,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,1.0,,,0.0,0.0,0.0,1.0,1.0,0.0,-1.770485260989517,0.0
275,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,short,middle,20.0,0.0,0.0,0.0,1.0,1.0,1.7486642815638334,1.0
278,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,short,right,6.0,0.0,0.0,0.0,1.0,1.0,-0.06663917610421777,0.0
279,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,short,middle,4.0,0.0,0.0,0.0,1.0,1.0,1.2412762520834804,1.0
282,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,deep,middle,39.0,0.0,0.0,0.0,1.0,1.0,4.114090408431366,1.0
283,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,short,right,0.0,0.0,0.0,0.0,1.0,0.0,-0.2591403108672239,0.0
284,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,short,left,1.0,1.0,0.0,0.0,1.0,1.0,0.8713060462032445,1.0
287,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,1.0,short,middle,0.0,0.0,0.0,0.0,1.0,0.0,-0.5814993502572179,0.0
288,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,deep,left,0.0,0.0,0.0,0.0,1.0,0.0,-0.7747815283946693,0.0
289,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,1.0,short,left,12.0,0.0,0.0,0.0,1.0,1.0,2.1458062496967614,1.0
290,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,deep,left,0.0,0.0,0.0,0.0,1.0,0.0,-0.505381042836234,0.0
291,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0492926861625165,0.0
293,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0023682,R.Fitzpatrick,0.0,deep,middle,0.0,0.0,0.0,0.0,1.0,0.0,-1.14929693704471,0.0
297,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.2446903649251908,0.0
298,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,short,left,21.0,0.0,0.0,0.0,1.0,1.0,3.067218581447378,1.0
299,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,short,right,23.0,0.0,0.0,0.0,1.0,1.0,1.5145210647024214,1.0
303,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0034796,L.Jackson,0.0,short,right,0.0,0.0,0.0,0.0,1.0,0.0,-1.1876162174888258,0.0
306,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0034343,J.Rosen,1.0,short,right,5.0,0.0,0.0,0.0,1.0,1.0,0.012937844265252352,1.0
308,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0034343,J.Rosen,0.0,short,right,0.0,0.0,1.0,0.0,1.0,0.0,-4.237357721896842,0.0
311,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0029665,R.Griffin III,0.0,short,middle,11.0,0.0,0.0,0.0,1.0,1.0,0.7247920859372243,1.0
318,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0029665,R.Griffin III,0.0,short,left,3.0,1.0,0.0,0.0,1.0,1.0,4.105483521125279,1.0
321,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0034343,J.Rosen,0.0,short,left,0.0,0.0,0.0,0.0,1.0,0.0,-0.48569838237017393,0.0
323,2019-09-08,2019_01_BAL_MIA,2019,1,MIA,00-0034343,J.Rosen,1.0,,,0.0,0.0,0.0,1.0,1.0,0.0,-1.5558584644459188,0.0
326,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0029665,R.Griffin III,0.0,short,left,10.0,0.0,0.0,0.0,1.0,1.0,0.9854703291784972,1.0
330,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0029665,R.Griffin III,0.0,short,right,11.0,0.0,0.0,0.0,1.0,1.0,1.3101634874474257,1.0
332,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0029665,R.Griffin III,0.0,short,middle,12.0,0.0,0.0,0.0,1.0,1.0,0.9415664138505235,1.0
335,2019-09-08,2019_01_BAL_MIA,2019,1,BAL,00-0029665,R.Griffin III,0.0,short,middle,8.0,0.0,0.0,0.0,1.0,1.0,0.8697834205231629,1.0
345,2019-09-08,2019_01_BUF_NYJ,2019,1,BUF,00-0034857,J.Allen,0.0,short,left,8.0,0.0,0.0,0.0,1.0,1.0,0.62075384426862,1.0
346,2019-09-08,2019_01_BUF_NYJ,2019,1,BUF,00-0034857,J.Allen,0.0,short,left,13.0,0.0,0.0,0.0,1.0,1.0,0.8782823744695634,1.0
348,2019-09-08,2019_01_BUF_NYJ,2019,1,BUF,00-0034857,J.Allen,0.0,short,middle,9.0,0.0,0.0,0.0,1.0,1.0,0.444319129223004,1.0
349,2019-09-08,2019_01_BUF_NYJ,2019,1,BUF,00-0034857,J.Allen,0.0,short,right,4.0,0.0,0.0,0.0,1.0,1.0,-0.15565770026296377,0.0
350,2019-09-08,2019_01_BUF_NYJ,2019,1,BUF,00-0034857,J.Allen,0.0,short,left,10.0,0.0,0.0,0.0,1.0,1.0,1.1443377004470676,1.0
351,2019-09-08,2019_01_BUF_NYJ,2019,1,BUF,00-0034857,J.Allen,1.0,deep,right,0.0,0.0,0.0,0.0,1.0,0.0,-0.4629047407070175,0.0
352,2019-09-08,2019_01_BUF_NYJ,2019,1,BUF,00-0034857,J.Allen,1.0,,,0.0,0.0,0.0,1.0,1.0,0.0,-6.069082575966604,0.0
354,2019-09-08,2019_01_BUF_NYJ,2019,1,NYJ,00-0034869,S.Darnold,0.0,short,middle,0.0,0.0,0.0,0.0,1.0,0.0,-0.8764062274713069,0.0
355,2019-09-08,2019_01_BUF_NYJ,2019,1,NYJ,00-0034869,S.Darnold,0.0,short,right,1.0,0.0,0.0,0.0,1.0,1.0,-1.4867907369043678,0.0
357,2019-09-08,2019_01_BUF_NYJ,2019,1,BUF,00-0034857,J.Allen,0.0,short,middle,0.0,0.0,1.0,0.0,1.0,0.0,-6.972435335163027,0.0
360,2019-09-08,2019_01_BUF_NYJ,2019,1,BUF,00-0034857,J.Allen,0.0,short,left,5.0,0.0,0.0,0.0,1.0,1.0,0.0033378484658896923,1.0
361,2019-09-08,2019_01_BUF_NYJ,2019,1,BUF,00-0034857,J.Allen,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.20760414097458124,0.0
362,2019-09-08,2019_01_BUF_NYJ,2019,1,BUF,00-0034857,J.Allen,0.0,short,middle,10.0,0.0,0.0,0.0,1.0,1.0,2.377765224315226,1.0
